BANGLADESH - CHITTAGONG,A-Accessories,2018,10,15,2018-10-15,10/15/2018,2018,10,15,2018-11-11,11/11/2018,125.5795307555,BANGLADESH - CHITTAGONG,2018-10-15,10,2018-11-11,A-Accessories,-14,-41,2018-10-01,2018-10-01,2,44,2018-10-17,2018-12-25,-49,-76,2018-08-27,2018-08-27,71,44,2018-12-25,2018-12-25,2018-10-15,BANGLADESH - CHITTAGONG,A-Accessories,2018-10-10,19.2555280491,5,27
BANGLADESH - CHITTAGONG,A-Accessories,2017,10,20,2017-10-20,10/20/2017,2017,10,20,2017-11-16,11/16/2017,41.8598435851,BANGLADESH - CHITTAGONG,2017-10-20,10,2017-11-16,A-Accessories,-15,-42,2017-10-05,2017-10-05,8,39,2017-10-28,2017-12-25,-53,-80,2017-08-28,2017-08-28,66,39,2017-12-25,2017-12-25,2017-10-20,BANGLADESH - CHITTAGONG,A-Accessories,2017-08-31,6.9766405975,50,27
BANGLADESH - CHITTAGONG,A-Accessories,2018,11,1,2018-11-01,11/01/2018,2018,11,1,2018-11-28,11/28/2018,13.953281195,BANGLADESH - CHITTAGONG,2018-11-01,11,2018-11-28,A-Accessories,-15,-42,2018-10-17,2018-10-17,54,27,2018-12-25,2018-12-25,-66,-93,2018-08-27,2018-08-27,54,27,2018-12-25,2018-12-25,2018-11-01,BANGLADESH - CHITTAGONG,A-Accessories,2018-10-15,125.5795307555,17,27
BANGLADESH - CHITTAGONG,C-Trousers,2018,6,14,2018-06-14,06/14/2018,2018,6,14,2018-07-11,07/11/2018,579.0611695941,BANGLADESH - CHITTAGONG,2018-06-14,6,2018-07-11,C-Trousers,-23,-50,2018-05-22,2018-05-22,4,76,2018-06-18,2018-09-25,-17,-44,2018-05-28,2018-05-28,74,47,2018-08-27,2018-08-27,,,,,,,27
BANGLADESH - CHITTAGONG,C-Trousers,2018,6,21,2018-06-21,06/21/2018,2018,6,21,2018-07-18,07/18/2018,352.3203501747,BANGLADESH - CHITTAGONG,2018-06-21,6,2018-07-18,C-Trousers,-3,-30,2018-06-18,2018-06-18,10,69,2018-07-01,2018-09-25,-24,-51,2018-05-28,2018-05-28,67,40,2018-08-27,2018-08-27,2018-06-21,BANGLADESH - CHITTAGONG,C-Trousers,2018-06-14,579.0611695941,7,27
BANGLADESH - CHITTAGONG,C-Trousers,2018,7,5,2018-07-05,07/05/2018,2018,7,5,2018-08-01,08/01/2018,320.9254674859,BANGLADESH - CHITTAGONG,2018-07-05,7,2018-08-01,C-Trousers,-3,-30,2018-07-02,2018-07-02,82,55,2018-09-25,2018-09-25,-38,-65,2018-05-28,2018-05-28,53,26,2018-08-27,2018-08-27,2018-07-05,BANGLADESH - CHITTAGONG,C-Trousers,2018-06-21,352.3203501747,14,27
BANGLADESH - CHITTAGONG,C-Trousers,2018,7,19,2018-07-19,07/19/2018,2018,7,19,2018-08-15,08/15/2018,320.9254674859,BANGLADESH - CHITTAGONG,2018-07-19,7,2018-08-15,C-Trousers,-17,-44,2018-07-02,2018-07-02,68,41,2018-09-25,2018-09-25,-52,-79,2018-05-28,2018-05-28,39,12,2018-08-27,2018-08-27,2018-07-19,BANGLADESH - CHITTAGONG,C-Trousers,2018-07-05,320.9254674859,14,27
BANGLADESH - CHITTAGONG,C-Trousers,2018,7,27,2018-07-27,07/27/2018,2018,7,27,2018-08-23,08/23/2018,457.6676231972,BANGLADESH - CHITTAGONG,2018-07-27,7,2018-08-23,C-Trousers,-25,-52,2018-07-02,2018-07-02,60,33,2018-09-25,2018-09-25,-60,-87,2018-05-28,2018-05-28,31,4,2018-08-27,2018-08-27,2018-07-27,BANGLADESH - CHITTAGONG,C-Trousers,2018-07-19,320.9254674859,8,27
BANGLADESH - CHITTAGONG,C-Trousers,2018,8,10,2018-08-10,08/10/2018,2018,8,10,2018-09-06,09/06/2018,443.7143420021,BANGLADESH - CHITTAGONG,2018-08-10,8,2018-09-06,C-Trousers,-39,-66,2018-07-02,2018-07-02,46,19,2018-09-25,2018-09-25,-74,-10,2018-05-28,2018-08-27,17,110,2018-08-27,2018-12-25,2018-08-10,BANGLADESH - CHITTAGONG,C-Trousers,2018-07-27,457.6676231972,14,27
BANGLADESH - CHITTAGONG,D-Jackets,2018,4,20,2018-04-20,04/20/2018,2018,4,20,2018-05-17,05/17/2018,244.1824209132,BANGLADESH - CHITTAGONG,2018-04-20,4,2018-05-17,D-Jackets,-15,-42,2018-04-05,2018-04-05,11,5,2018-05-01,2018-05-22,-18,-10,2018-04-02,2018-05-07,17,11,2018-05-07,2018-05-28,2018-04-20,BANGLADESH - CHITTAGONG,D-Jackets,2017-09-01,30.6972186291,231,27
BANGLADESH - CHITTAGONG,D-Jackets,2018,8,1,2018-08-01,08/01/2018,2018,8,1,2018-08-28,08/28/2018,6.9766405975,BANGLADESH - CHITTAGONG,2018-08-01,8,2018-08-28,D-Jackets,-30,-57,2018-07-02,2018-07-02,55,28,2018-09-25,2018-09-25,-65,-1,2018-05-28,2018-08-27,26,119,2018-08-27,2018-12-25,2018-08-01,BANGLADESH - CHITTAGONG,D-Jackets,2018-04-20,244.1824209132,103,27
BANGLADESH - CHITTAGONG,D-Jackets,2018,8,13,2018-08-13,08/13/2018,2018,8,13,2018-09-09,09/09/2018,4.1859843585,BANGLADESH - CHITTAGONG,2018-08-13,8,2018-09-09,D-Jackets,-42,-69,2018-07-02,2018-07-02,43,16,2018-09-25,2018-09-25,-77,-13,2018-05-28,2018-08-27,14,107,2018-08-27,2018-12-25,2018-08-13,BANGLADESH - CHITTAGONG,D-Jackets,2018-08-01,6.9766405975,12,27
BANGLADESH - CHITTAGONG,D-Jackets,2018,8,15,2018-08-15,08/15/2018,2018,8,15,2018-09-11,09/11/2018,2.0929921793,BANGLADESH - CHITTAGONG,2018-08-15,8,2018-09-11,D-Jackets,-44,-71,2018-07-02,2018-07-02,41,14,2018-09-25,2018-09-25,-79,-15,2018-05-28,2018-08-27,12,105,2018-08-27,2018-12-25,2018-08-15,BANGLADESH - CHITTAGONG,D-Jackets,2018-08-13,4.1859843585,2,27
BANGLADESH - CHITTAGONG,D-Jackets,2017,9,1,2017-09-01,09/01/2017,2017,9,1,2017-09-28,09/28/2017,30.6972186291,BANGLADESH - CHITTAGONG,2017-09-01,9,2017-09-28,D-Jackets,-62,-89,2017-07-01,2017-07-01,30,3,2017-10-01,2017-10-01,-4,-31,2017-08-28,2017-08-28,115,88,2017-12-25,2017-12-25,,,,,,,27
BANGLADESH - CHITTAGONG,D-Jackets,2018,9,10,2018-09-10,09/10/2018,2018,9,10,2018-10-07,10/07/2018,6.1394437258,BANGLADESH - CHITTAGONG,2018-09-10,9,2018-10-07,D-Jackets,-70,-97,2018-07-02,2018-07-02,15,10,2018-09-25,2018-10-17,-14,-41,2018-08-27,2018-08-27,106,79,2018-12-25,2018-12-25,2018-09-10,BANGLADESH - CHITTAGONG,D-Jackets,2018-08-15,2.0929921793,26,27
BANGLADESH - CHITTAGONG,F-Sweatshirts,2018,1,15,2018-01-15,01/15/2018,2018,1,15,2018-02-11,02/11/2018,131.8585072931,BANGLADESH - CHITTAGONG,2018-01-15,1,2018-02-11,F-Sweatshirts,-14,-41,2018-01-01,2018-01-01,32,5,2018-02-16,2018-02-16,-14,-41,2018-01-01,2018-01-01,74,47,2018-03-30,2018-03-30,2018-01-15,BANGLADESH - CHITTAGONG,F-Sweatshirts,2017-12-04,20.9299217926,42,27
BANGLADESH - CHITTAGONG,F-Sweatshirts,2018,1,19,2018-01-19,01/19/2018,2018,1,19,2018-02-15,02/15/2018,10.4649608963,BANGLADESH - CHITTAGONG,2018-01-19,1,2018-02-15,F-Sweatshirts,-18,-45,2018-01-01,2018-01-01,28,1,2018-02-16,2018-02-16,-18,-45,2018-01-01,2018-01-01,70,43,2018-03-30,2018-03-30,2018-01-19,BANGLADESH - CHITTAGONG,F-Sweatshirts,2018-01-15,131.8585072931,4,27
BANGLADESH - CHITTAGONG,F-Sweatshirts,2018,2,5,2018-02-05,02/05/2018,2018,2,5,2018-03-04,03/04/2018,36.2785311071,BANGLADESH - CHITTAGONG,2018-02-05,2,2018-03-04,F-Sweatshirts,-35,-62,2018-01-01,2018-01-01,11,26,2018-02-16,2018-03-30,-35,-62,2018-01-01,2018-01-01,53,26,2018-03-30,2018-03-30,2018-02-05,BANGLADESH - CHITTAGONG,F-Sweatshirts,2018-01-19,10.4649608963,17,27
BANGLADESH - CHITTAGONG,F-Sweatshirts,2018,2,19,2018-02-19,02/19/2018,2018,2,19,2018-03-18,03/18/2018,18.1392655535,BANGLADESH - CHITTAGONG,2018-02-19,2,2018-03-18,F-Sweatshirts,0,-27,2018-02-19,2018-02-19,39,12,2018-03-30,2018-03-30,-49,-76,2018-01-01,2018-01-01,39,12,2018-03-30,2018-03-30,2018-02-19,BANGLADESH - CHITTAGONG,F-Sweatshirts,2018-02-05,36.2785311071,14,27
BANGLADESH - CHITTAGONG,F-Sweatshirts,2018,3,1,2018-03-01,03/01/2018,2018,3,1,2018-03-28,03/28/2018,61.394437258,BANGLADESH - CHITTAGONG,2018-03-01,3,2018-03-28,F-Sweatshirts,-10,-37,2018-02-19,2018-02-19,29,2,2018-03-30,2018-03-30,-59,-86,2018-01-01,2018-01-01,29,2,2018-03-30,2018-03-30,2018-03-01,BANGLADESH - CHITTAGONG,F-Sweatshirts,2018-02-19,18.1392655535,10,27
BANGLADESH - CHITTAGONG,F-Sweatshirts,2018,3,5,2018-03-05,03/05/2018,2018,3,5,2018-04-01,04/01/2018,516.2714042161,BANGLADESH - CHITTAGONG,2018-03-05,3,2018-04-01,F-Sweatshirts,-14,-41,2018-02-19,2018-02-19,25,1,2018-03-30,2018-04-02,-63,0,2018-01-01,2018-04-01,25,1,2018-03-30,2018-04-02,2018-03-05,BANGLADESH - CHITTAGONG,F-Sweatshirts,2018-03-01,61.394437258,4,27
BANGLADESH - CHITTAGONG,F-Sweatshirts,2018,3,15,2018-03-15,03/15/2018,2018,3,15,2018-04-11,04/11/2018,25.1159061511,BANGLADESH - CHITTAGONG,2018-03-15,3,2018-04-11,F-Sweatshirts,-24,-51,2018-02-19,2018-02-19,15,20,2018-03-30,2018-05-01,-73,-9,2018-01-01,2018-04-02,15,26,2018-03-30,2018-05-07,2018-03-15,BANGLADESH - CHITTAGONG,F-Sweatshirts,2018-03-05,516.2714042161,10,27
BANGLADESH - CHITTAGONG,F-Sweatshirts,2018,3,26,2018-03-26,03/26/2018,2018,3,26,2018-04-22,04/22/2018,59.9991091387,BANGLADESH - CHITTAGONG,2018-03-26,3,2018-04-22,F-Sweatshirts,-35,-62,2018-02-19,2018-02-19,4,9,2018-03-30,2018-05-01,-84,-20,2018-01-01,2018-04-02,4,15,2018-03-30,2018-05-07,2018-03-26,BANGLADESH - CHITTAGONG,F-Sweatshirts,2018-03-15,25.1159061511,11,27
