Load Port,Eqp Type (Abrv) in Shipment,ETD,Dsch Port,ETA Dsch Port,Final Dest,ETA Final Dest,Msr (Per Eqp),Unit of Measure,Wgt (Per Eqp),Unit of Measure,PO No.,Item Class,Shipped Qty,PkgCode,Shipped Dtl Qty,PkgCode,Item Shipped Wgt,Unit of Measure,Item Shipped Msr,Unit of Measure
BANGLADESH - CHITTAGONG,,08/17/2017,,09/13/2017,,,,,,,,M-Tops,,,,,,,27.2088983303,
BANGLADESH - CHITTAGONG,,08/17/2017,,09/13/2017,,,,,,,,A-Accessories,,,,,,,58.6037810192,
BANGLADESH - CHITTAGONG,,08/17/2017,,09/13/2017,,,,,,,,M-Tops,,,,,,,48.1388201229,
CHINA - SHANGHAI,,09/22/2017,,10/21/2017,,,,,,,,D-Jackets,,,,,,,11.162624956,
CHINA - SHANGHAI,,09/22/2017,,10/21/2017,,,,,,,,D-Jackets,,,,,,,9.7672968365,
CHINA - SHANGHAI,,09/22/2017,,10/21/2017,,,,,,,,D-Jackets,,,,,,,1.3953281195,
CHINA - SHANGHAI,,09/22/2017,,10/21/2017,,,,,,,,D-Jackets,,,,,,,2.790656239,
CHINA - SHANGHAI,,09/22/2017,,10/21/2017,,,,,,,,D-Jackets,,,,,,,5.581312478,
CHINA - SHANGHAI,,09/22/2017,,10/21/2017,,,,,,,,D-Jackets,,,,,,,2.790656239,
CHINA - SHANGHAI,,09/22/2017,,10/21/2017,,,,,,,,D-Jackets,,,,,,,1.3953281195,
UNKNOWN,,04/12/2017,,,,,,,,,,S-Shorts,,,,,,,0.6976640598,
UNKNOWN,,04/12/2017,,,,,,,,,,S-Shorts,,,,,,,2.0929921793,
UNKNOWN,,04/12/2017,,,,,,,,,,S-Shorts,,,,,,,2.0929921793,
UNKNOWN,,04/12/2017,,,,,,,,,,S-Shorts,,,,,,,1.3953281195,
UNKNOWN,,04/12/2017,,,,,,,,,,S-Shorts,,,,,,,0.6976640598,
UNKNOWN,,04/12/2017,,,,,,,,,,S-Shorts,,,,,,,0.6976640598,
UNKNOWN,,04/12/2017,,,,,,,,,,S-Shorts,,,,,,,2.0929921793,
UNKNOWN,,04/12/2017,,,,,,,,,,S-Shorts,,,,,,,2.0929921793,
UNKNOWN,,04/12/2017,,,,,,,,,,S-Shorts,,,,,,,1.3953281195,
UNKNOWN,,04/12/2017,,,,,,,,,,S-Shorts,,,,,,,0.6976640598,
UNKNOWN,,09/01/2018,,,,,,,,,,D-Jackets,,,,,,,5.0231812302,
UNKNOWN,,09/01/2018,,,,,,,,,,D-Jackets,,,,,,,0.4883648418,
UNKNOWN,,09/01/2018,,,,,,,,,,D-Jackets,,,,,,,12.8370186994,
UNKNOWN,,09/01/2018,,,,,,,,,,D-Jackets,,,,,,,0.139532812,
UNKNOWN,,09/01/2018,,,,,,,,,,D-Jackets,,,,,,,12.6974858875,
UNKNOWN,,09/01/2018,,,,,,,,,,D-Jackets,,,,,,,0.6976640598,
UNKNOWN,,09/01/2018,,,,,,,,,,D-Jackets,,,,,,,14.2323468189,
UNKNOWN,,09/01/2018,,,,,,,,,,D-Jackets,,,,,,,0.3488320299,
UNKNOWN,,09/01/2018,,,,,,,,,,D-Jackets,,,,,,,14.3021132249,
UNKNOWN,,09/01/2018,,,,,,,,,,D-Jackets,,,,,,,0.139532812,
UNKNOWN,,09/01/2018,,,,,,,,,,D-Jackets,,,,,,,5.0231812302,
UNKNOWN,,09/01/2018,,,,,,,,,,D-Jackets,,,,,,,3.0697218629,
UNKNOWN,,09/01/2018,,,,,,,,,,D-Jackets,,,,,,,0.7674304657,
BANGLADESH - CHITTAGONG,,09/01/2017,,09/28/2017,,,,,,,,M-Tops,,,,,,,25.6740373989,
BANGLADESH - CHITTAGONG,,09/01/2017,,09/28/2017,,,,,,,,M-Tops,,,,,,,30.1390873813,
BANGLADESH - CHITTAGONG,,09/01/2017,,09/28/2017,,,,,,,,M-Tops,,,,,,,25.1159061511,
BANGLADESH - CHITTAGONG,,09/01/2017,,09/28/2017,,,,,,,,M-Tops,,,,,,,25.1159061511,
BANGLADESH - CHITTAGONG,,09/01/2017,,09/28/2017,,,,,,,,F-Sweatshirts,,,,,,,82.3243590507,
BANGLADESH - CHITTAGONG,,09/01/2017,,09/28/2017,,,,,,,,F-Sweatshirts,,,,,,,1.3953281195,
BANGLADESH - CHITTAGONG,,09/01/2017,,09/28/2017,,,,,,,,F-Sweatshirts,,,,,,,57.2084528997,
BANGLADESH - CHITTAGONG,,09/01/2017,,09/28/2017,,,,,,,,F-Sweatshirts,,,,,,,15.3486093145,
BANGLADESH - CHITTAGONG,,09/01/2017,,09/28/2017,,,,,,,,F-Sweatshirts,,,,,,,11.162624956,
UNKNOWN,,09/01/2017,,,,,,,,,,S-Shorts,,,,,,,25.1159061511,
UNKNOWN,,09/01/2017,,,,,,,,,,S-Shorts,,,,,,,25.1159061511,
UNKNOWN,,09/01/2017,,,,,,,,,,S-Shorts,,,,,,,20.9299217926,
UNKNOWN,,09/01/2017,,,,,,,,,,S-Shorts,,,,,,,20.9299217926,
UNKNOWN,,09/01/2017,,,,,,,,,,S-Shorts,,,,,,,20.9299217926,
UNKNOWN,,09/01/2017,,,,,,,,,,S-Shorts,,,,,,,20.9299217926,
PAKISTAN - KARACHI,,09/01/2017,,09/30/2017,,,,,,,,C-Trousers,,,,,,,20.9299217926,
PAKISTAN - KARACHI,,09/01/2017,,09/30/2017,,,,,,,,C-Trousers,,,,,,,22.3252499121,
PAKISTAN - KARACHI,,09/01/2017,,09/30/2017,,,,,,,,C-Trousers,,,,,,,16.743937434,
BANGLADESH - CHITTAGONG,,09/01/2017,,09/28/2017,,,,,,,,F-Sweatshirts,,,,,,,20.9299217926,
BANGLADESH - CHITTAGONG,,09/01/2017,,09/28/2017,,,,,,,,F-Sweatshirts,,,,,,,15.3486093145,
BANGLADESH - CHITTAGONG,,09/01/2017,,09/28/2017,,,,,,,,F-Sweatshirts,,,,,,,2.790656239,
BANGLADESH - CHITTAGONG,,09/01/2017,,09/28/2017,,,,,,,,F-Sweatshirts,,,,,,,2.790656239,
