Load_Port,Item_Class,ETD_Yr,ETD_Day,ETD_Mth,ETD_Dte,ETD,ETA_Yr,ETD_Day_1,ETD_Mth_1,ETA_Dsch_Port_Dte,ETA_Dsch_Port,Sum_Shipped_Msr,Load_port_1,ETD_Dte_1,mth_ETD,ETA_Dsch_Port_Dte_1,Item_Class_1,HK_Prev_diff_ETD,HK_Prev_diff_ETA,HK_Prev_ETD,HK_Prev_ETA,HK_Next_diff_ETD,HK_Next_diff_ETA,HK_Next_ETD,HK_Next_ETA,UK_Prev_diff_ETD,UK_Prev_diff_ETA,UK_Prev_ETD,UK_Prev_ETA,UK_Next_diff_ETD,UK_Next_diff_ETA,UK_Next_ETD,UK_Next_ETA,ETD_Dte_2,Load_Port_2,Item_Class_2,prev_ETD_Dte,prev_Shipped_Msr,prev_ETD_Dte_diff,Transport_Days
BANGLADESH - CHITTAGONG,C-Trousers,2017,2,11,2017-02-11,02/11/2017,2017,2,11,2017-03-10,03/10/2017,22.28,BANGLADESH - CHITTAGONG,2017-02-11,2,2017-03-10,C-Trousers,-11,-38,2017-01-31,2017-01-31,52,25,2017-04-04,2017-04-04,-40,-67,2017-01-02,2017-01-02,62,35,2017-04-14,2017-04-14,2017-02-11,BANGLADESH - CHITTAGONG,C-Trousers,2017-02-06,1413.01,5,27
BANGLADESH - CHITTAGONG,C-Trousers,2017,2,26,2017-02-26,02/26/2017,2017,2,26,2017-03-28,03/28/2017,11.01,BANGLADESH - CHITTAGONG,2017-02-26,2,2017-03-28,C-Trousers,-26,-56,2017-01-31,2017-01-31,37,7,2017-04-04,2017-04-04,-55,-85,2017-01-02,2017-01-02,47,17,2017-04-14,2017-04-14,2017-02-26,BANGLADESH - CHITTAGONG,C-Trousers,2017-02-11,22.28,15,30
BANGLADESH - CHITTAGONG,C-Trousers,2017,3,3,2017-03-03,03/03/2017,2017,3,3,2017-04-04,04/04/2017,17,BANGLADESH - CHITTAGONG,2017-03-03,3,2017-04-04,C-Trousers,-31,-63,2017-01-31,2017-01-31,32,10,2017-04-04,2017-04-14,-60,-92,2017-01-02,2017-01-02,42,10,2017-04-14,2017-04-14,2017-03-03,BANGLADESH - CHITTAGONG,C-Trousers,2017-02-26,11.01,5,32
BANGLADESH - CHITTAGONG,C-Trousers,2016,3,13,2016-03-13,03/13/2016,2016,3,13,2016-04-08,04/08/2016,8.55,BANGLADESH - CHITTAGONG,2016-03-13,3,2016-04-08,C-Trousers,-32,-58,2016-02-10,2016-02-10,12,23,2016-03-25,2016-05-01,-72,-11,2016-01-01,2016-03-28,12,24,2016-03-25,2016-05-02,,,,,,,26
BANGLADESH - CHITTAGONG,C-Trousers,2017,3,14,2017-03-14,03/14/2017,2017,3,14,2017-04-07,04/07/2017,6.65,BANGLADESH - CHITTAGONG,2017-03-14,3,2017-04-07,C-Trousers,-42,-66,2017-01-31,2017-01-31,21,7,2017-04-04,2017-04-14,-71,-95,2017-01-02,2017-01-02,31,7,2017-04-14,2017-04-14,2017-03-14,BANGLADESH - CHITTAGONG,C-Trousers,2017-03-03,17,11,24
BANGLADESH - CHITTAGONG,C-Trousers,2016,3,26,2016-03-26,03/26/2016,2016,3,26,2016-04-21,04/21/2016,8.01,BANGLADESH - CHITTAGONG,2016-03-26,3,2016-04-21,C-Trousers,0,-26,2016-03-26,2016-03-26,2,10,2016-03-28,2016-05-01,-1,-24,2016-03-25,2016-03-28,1,11,2016-03-27,2016-05-02,2016-03-26,BANGLADESH - CHITTAGONG,C-Trousers,2016-03-13,8.55,13,26
BANGLADESH - CHITTAGONG,C-Trousers,2016,3,28,2016-03-28,03/28/2016,2016,3,28,2016-04-21,04/21/2016,35.91,BANGLADESH - CHITTAGONG,2016-03-28,3,2016-04-21,C-Trousers,0,-24,2016-03-28,2016-03-28,7,10,2016-04-04,2016-05-01,0,-24,2016-03-28,2016-03-28,35,11,2016-05-02,2016-05-02,2016-03-28,BANGLADESH - CHITTAGONG,C-Trousers,2016-03-26,8.01,2,24
BANGLADESH - CHITTAGONG,C-Trousers,2016,4,6,2016-04-06,04/06/2016,2016,4,6,2016-05-03,05/03/2016,11.22,BANGLADESH - CHITTAGONG,2016-04-06,4,2016-05-03,C-Trousers,-2,-29,2016-04-04,2016-04-04,25,11,2016-05-01,2016-05-14,-9,-1,2016-03-28,2016-05-02,26,27,2016-05-02,2016-05-30,2016-04-06,BANGLADESH - CHITTAGONG,C-Trousers,2016-03-28,35.91,9,27
BANGLADESH - CHITTAGONG,C-Trousers,2016,4,8,2016-04-08,04/08/2016,2016,4,8,2016-05-11,05/11/2016,69.19,BANGLADESH - CHITTAGONG,2016-04-08,4,2016-05-11,C-Trousers,-4,-37,2016-04-04,2016-04-04,23,3,2016-05-01,2016-05-14,-11,-9,2016-03-28,2016-05-02,24,19,2016-05-02,2016-05-30,2016-04-08,BANGLADESH - CHITTAGONG,C-Trousers,2016-04-06,11.22,2,33
BANGLADESH - CHITTAGONG,C-Trousers,2016,4,27,2016-04-27,04/27/2016,2016,4,27,2016-05-26,05/26/2016,56.79,BANGLADESH - CHITTAGONG,2016-04-27,4,2016-05-26,C-Trousers,-23,-52,2016-04-04,2016-04-04,4,14,2016-05-01,2016-06-09,-30,-24,2016-03-28,2016-05-02,5,4,2016-05-02,2016-05-30,2016-04-27,BANGLADESH - CHITTAGONG,C-Trousers,2016-04-08,69.19,19,29
BANGLADESH - CHITTAGONG,C-Trousers,2016,4,29,2016-04-29,04/29/2016,2016,4,29,2016-05-26,05/26/2016,7.63,BANGLADESH - CHITTAGONG,2016-04-29,4,2016-05-26,C-Trousers,-25,-52,2016-04-04,2016-04-04,2,14,2016-05-01,2016-06-09,-32,-24,2016-03-28,2016-05-02,3,4,2016-05-02,2016-05-30,2016-04-29,BANGLADESH - CHITTAGONG,C-Trousers,2016-04-27,56.79,2,27
BANGLADESH - CHITTAGONG,C-Trousers,2016,5,25,2016-05-25,05/25/2016,2016,5,25,2016-06-14,06/14/2016,21.36,BANGLADESH - CHITTAGONG,2016-05-25,5,2016-06-14,C-Trousers,-11,-31,2016-05-14,2016-05-14,15,17,2016-06-09,2016-07-01,-23,-15,2016-05-02,2016-05-30,5,76,2016-05-30,2016-08-29,2016-05-25,BANGLADESH - CHITTAGONG,C-Trousers,2016-04-29,7.63,26,20
BANGLADESH - CHITTAGONG,C-Trousers,2016,6,9,2016-06-09,06/09/2016,2016,6,9,2016-07-07,07/07/2016,22.81,BANGLADESH - CHITTAGONG,2016-06-09,6,2016-07-07,C-Trousers,0,-28,2016-06-09,2016-06-09,22,71,2016-07-01,2016-09-16,-10,-38,2016-05-30,2016-05-30,81,53,2016-08-29,2016-08-29,2016-06-09,BANGLADESH - CHITTAGONG,C-Trousers,2016-05-25,21.36,15,28
BANGLADESH - CHITTAGONG,C-Trousers,2016,7,5,2016-07-05,07/05/2016,2016,7,5,2016-07-26,07/26/2016,86.22,BANGLADESH - CHITTAGONG,2016-07-05,7,2016-07-26,C-Trousers,-4,-25,2016-07-01,2016-07-01,73,52,2016-09-16,2016-09-16,-36,-57,2016-05-30,2016-05-30,55,34,2016-08-29,2016-08-29,2016-07-05,BANGLADESH - CHITTAGONG,C-Trousers,2016-06-09,22.81,26,21
BANGLADESH - CHITTAGONG,C-Trousers,2016,7,30,2016-07-30,07/30/2016,2016,7,30,2016-08-31,08/31/2016,34.84,BANGLADESH - CHITTAGONG,2016-07-30,7,2016-08-31,C-Trousers,-29,-61,2016-07-01,2016-07-01,48,16,2016-09-16,2016-09-16,-61,-2,2016-05-30,2016-08-29,30,116,2016-08-29,2016-12-25,2016-07-30,BANGLADESH - CHITTAGONG,C-Trousers,2016-07-05,86.22,25,32
BANGLADESH - CHITTAGONG,C-Trousers,2016,8,13,2016-08-13,08/13/2016,2016,8,13,2016-09-12,09/12/2016,16.46,BANGLADESH - CHITTAGONG,2016-08-13,8,2016-09-12,C-Trousers,-43,-73,2016-07-01,2016-07-01,34,4,2016-09-16,2016-09-16,-75,-14,2016-05-30,2016-08-29,16,104,2016-08-29,2016-12-25,2016-08-13,BANGLADESH - CHITTAGONG,C-Trousers,2016-07-30,34.84,14,30
BANGLADESH - CHITTAGONG,C-Trousers,2016,8,24,2016-08-24,08/24/2016,2016,8,24,2016-09-19,09/19/2016,17.47,BANGLADESH - CHITTAGONG,2016-08-24,8,2016-09-19,C-Trousers,-54,-80,2016-07-01,2016-07-01,23,12,2016-09-16,2016-10-01,-86,-21,2016-05-30,2016-08-29,5,97,2016-08-29,2016-12-25,2016-08-24,BANGLADESH - CHITTAGONG,C-Trousers,2016-08-13,16.46,11,26
BANGLADESH - CHITTAGONG,C-Trousers,2016,9,9,2016-09-09,09/09/2016,2016,9,9,2016-10-10,10/10/2016,44.33,BANGLADESH - CHITTAGONG,2016-09-09,9,2016-10-10,C-Trousers,-70,-101,2016-07-01,2016-07-01,7,76,2016-09-16,2016-12-25,-11,-42,2016-08-29,2016-08-29,107,76,2016-12-25,2016-12-25,2016-09-09,BANGLADESH - CHITTAGONG,C-Trousers,2016-08-24,17.47,16,31
BANGLADESH - CHITTAGONG,C-Trousers,2016,12,19,2016-12-19,12/19/2016,2017,12,19,2017-01-12,01/12/2017,20.91,BANGLADESH - CHITTAGONG,2016-12-19,12,2017-01-12,C-Trousers,-70,-94,2016-10-10,2016-10-10,6,16,2016-12-25,2017-01-28,-112,-10,2016-08-29,2017-01-02,6,92,2016-12-25,2017-04-14,2016-12-19,BANGLADESH - CHITTAGONG,C-Trousers,2016-09-09,44.33,101,24
BANGLADESH - CHITTAGONG,D-Jackets,2017,1,3,2017-01-03,01/03/2017,2017,1,3,2017-01-30,01/30/2017,16.48,BANGLADESH - CHITTAGONG,2017-01-03,1,2017-01-30,D-Jackets,-1,-28,2017-01-02,2017-01-02,25,1,2017-01-28,2017-01-31,-1,-28,2017-01-02,2017-01-02,101,74,2017-04-14,2017-04-14,2017-01-03,BANGLADESH - CHITTAGONG,D-Jackets,2016-12-27,10.62,7,27
BANGLADESH - CHITTAGONG,D-Jackets,2017,1,17,2017-01-17,01/17/2017,2017,1,17,2017-02-09,02/09/2017,32.73,BANGLADESH - CHITTAGONG,2017-01-17,1,2017-02-09,D-Jackets,-15,-38,2017-01-02,2017-01-02,11,54,2017-01-28,2017-04-04,-15,-38,2017-01-02,2017-01-02,87,64,2017-04-14,2017-04-14,2017-01-17,BANGLADESH - CHITTAGONG,D-Jackets,2017-01-03,16.48,14,23
BANGLADESH - CHITTAGONG,D-Jackets,2017,1,26,2017-01-26,01/26/2017,2017,1,26,2017-03-05,03/05/2017,4.75,BANGLADESH - CHITTAGONG,2017-01-26,1,2017-03-05,D-Jackets,-24,-62,2017-01-02,2017-01-02,2,30,2017-01-28,2017-04-04,-24,-62,2017-01-02,2017-01-02,78,40,2017-04-14,2017-04-14,2017-01-26,BANGLADESH - CHITTAGONG,D-Jackets,2017-01-17,32.73,9,38
BANGLADESH - CHITTAGONG,D-Jackets,2017,2,6,2017-02-06,02/06/2017,2017,2,6,2017-03-04,03/04/2017,9,BANGLADESH - CHITTAGONG,2017-02-06,2,2017-03-04,D-Jackets,-6,-32,2017-01-31,2017-01-31,57,31,2017-04-04,2017-04-04,-35,-61,2017-01-02,2017-01-02,67,41,2017-04-14,2017-04-14,2017-02-06,BANGLADESH - CHITTAGONG,D-Jackets,2017-01-26,4.75,11,26
BANGLADESH - CHITTAGONG,D-Jackets,2017,2,11,2017-02-11,02/11/2017,2017,2,11,2017-03-10,03/10/2017,9.29,BANGLADESH - CHITTAGONG,2017-02-11,2,2017-03-10,D-Jackets,-11,-38,2017-01-31,2017-01-31,52,25,2017-04-04,2017-04-04,-40,-67,2017-01-02,2017-01-02,62,35,2017-04-14,2017-04-14,2017-02-11,BANGLADESH - CHITTAGONG,D-Jackets,2017-02-06,9,5,27
BANGLADESH - CHITTAGONG,D-Jackets,2016,12,27,2016-12-27,12/27/2016,2017,12,27,2017-01-23,01/23/2017,10.62,BANGLADESH - CHITTAGONG,2016-12-27,12,2017-01-23,D-Jackets,0,-27,2016-12-27,2016-12-27,5,5,2017-01-01,2017-01-28,0,-21,2016-12-27,2017-01-02,5,81,2017-01-01,2017-04-14,,,,,,,27
BANGLADESH - CHITTAGONG,F-Sweatshirts,2017,1,5,2017-01-05,01/05/2017,2017,1,5,2017-01-30,01/30/2017,22.2,BANGLADESH - CHITTAGONG,2017-01-05,1,2017-01-30,F-Sweatshirts,-3,-28,2017-01-02,2017-01-02,23,1,2017-01-28,2017-01-31,-3,-28,2017-01-02,2017-01-02,99,74,2017-04-14,2017-04-14,2017-01-05,BANGLADESH - CHITTAGONG,F-Sweatshirts,2016-12-27,16.2,9,25
BANGLADESH - CHITTAGONG,F-Sweatshirts,2017,2,11,2017-02-11,02/11/2017,2017,2,11,2017-03-10,03/10/2017,8.4,BANGLADESH - CHITTAGONG,2017-02-11,2,2017-03-10,F-Sweatshirts,-11,-38,2017-01-31,2017-01-31,52,25,2017-04-04,2017-04-04,-40,-67,2017-01-02,2017-01-02,62,35,2017-04-14,2017-04-14,2017-02-11,BANGLADESH - CHITTAGONG,F-Sweatshirts,2017-01-05,22.2,37,27
BANGLADESH - CHITTAGONG,F-Sweatshirts,2016,4,20,2016-04-20,04/20/2016,2016,4,20,2016-05-20,05/20/2016,20.77,BANGLADESH - CHITTAGONG,2016-04-20,4,2016-05-20,F-Sweatshirts,-16,-46,2016-04-04,2016-04-04,11,20,2016-05-01,2016-06-09,-23,-18,2016-03-28,2016-05-02,12,10,2016-05-02,2016-05-30,,,,,,,30
BANGLADESH - CHITTAGONG,F-Sweatshirts,2016,6,23,2016-06-23,06/23/2016,2016,6,23,2016-07-19,07/19/2016,10.2,BANGLADESH - CHITTAGONG,2016-06-23,6,2016-07-19,F-Sweatshirts,-14,-40,2016-06-09,2016-06-09,8,59,2016-07-01,2016-09-16,-24,-50,2016-05-30,2016-05-30,67,41,2016-08-29,2016-08-29,2016-06-23,BANGLADESH - CHITTAGONG,F-Sweatshirts,2016-04-20,20.77,64,26
BANGLADESH - CHITTAGONG,F-Sweatshirts,2016,7,5,2016-07-05,07/05/2016,2016,7,5,2016-07-26,07/26/2016,55.68,BANGLADESH - CHITTAGONG,2016-07-05,7,2016-07-26,F-Sweatshirts,-4,-25,2016-07-01,2016-07-01,73,52,2016-09-16,2016-09-16,-36,-57,2016-05-30,2016-05-30,55,34,2016-08-29,2016-08-29,2016-07-05,BANGLADESH - CHITTAGONG,F-Sweatshirts,2016-06-23,10.2,12,21
BANGLADESH - CHITTAGONG,F-Sweatshirts,2016,8,19,2016-08-19,08/19/2016,2016,8,19,2016-09-19,09/19/2016,9.38,BANGLADESH - CHITTAGONG,2016-08-19,8,2016-09-19,F-Sweatshirts,-49,-80,2016-07-01,2016-07-01,28,12,2016-09-16,2016-10-01,-81,-21,2016-05-30,2016-08-29,10,97,2016-08-29,2016-12-25,2016-08-19,BANGLADESH - CHITTAGONG,F-Sweatshirts,2016-07-05,55.68,45,31
BANGLADESH - CHITTAGONG,F-Sweatshirts,2016,8,24,2016-08-24,08/24/2016,2016,8,24,2016-09-19,09/19/2016,18.76,BANGLADESH - CHITTAGONG,2016-08-24,8,2016-09-19,F-Sweatshirts,-54,-80,2016-07-01,2016-07-01,23,12,2016-09-16,2016-10-01,-86,-21,2016-05-30,2016-08-29,5,97,2016-08-29,2016-12-25,2016-08-24,BANGLADESH - CHITTAGONG,F-Sweatshirts,2016-08-19,9.38,5,26
BANGLADESH - CHITTAGONG,F-Sweatshirts,2016,12,27,2016-12-27,12/27/2016,2017,12,27,2017-01-23,01/23/2017,16.2,BANGLADESH - CHITTAGONG,2016-12-27,12,2017-01-23,F-Sweatshirts,0,-27,2016-12-27,2016-12-27,5,5,2017-01-01,2017-01-28,0,-21,2016-12-27,2017-01-02,5,81,2017-01-01,2017-04-14,2016-12-27,BANGLADESH - CHITTAGONG,F-Sweatshirts,2016-08-24,18.76,125,27
BANGLADESH - CHITTAGONG,I-Knitwear,2017,1,9,2017-01-09,01/09/2017,2017,1,9,2017-02-04,02/04/2017,39.25,BANGLADESH - CHITTAGONG,2017-01-09,1,2017-02-04,I-Knitwear,-7,-33,2017-01-02,2017-01-02,19,59,2017-01-28,2017-04-04,-7,-33,2017-01-02,2017-01-02,95,69,2017-04-14,2017-04-14,2017-01-09,BANGLADESH - CHITTAGONG,I-Knitwear,2016-12-30,23.17,10,26
BANGLADESH - CHITTAGONG,I-Knitwear,2017,1,17,2017-01-17,01/17/2017,2017,1,17,2017-02-09,02/09/2017,28.14,BANGLADESH - CHITTAGONG,2017-01-17,1,2017-02-09,I-Knitwear,-15,-38,2017-01-02,2017-01-02,11,54,2017-01-28,2017-04-04,-15,-38,2017-01-02,2017-01-02,87,64,2017-04-14,2017-04-14,2017-01-17,BANGLADESH - CHITTAGONG,I-Knitwear,2017-01-09,39.25,8,23
BANGLADESH - CHITTAGONG,I-Knitwear,2017,1,20,2017-01-20,01/20/2017,2017,1,20,2017-02-16,02/16/2017,6.25,BANGLADESH - CHITTAGONG,2017-01-20,1,2017-02-16,I-Knitwear,-18,-45,2017-01-02,2017-01-02,8,47,2017-01-28,2017-04-04,-18,-45,2017-01-02,2017-01-02,84,57,2017-04-14,2017-04-14,2017-01-20,BANGLADESH - CHITTAGONG,I-Knitwear,2017-01-17,28.14,3,27
BANGLADESH - CHITTAGONG,I-Knitwear,2017,1,26,2017-01-26,01/26/2017,2017,1,26,2017-03-05,03/05/2017,27.7,BANGLADESH - CHITTAGONG,2017-01-26,1,2017-03-05,I-Knitwear,-24,-62,2017-01-02,2017-01-02,2,30,2017-01-28,2017-04-04,-24,-62,2017-01-02,2017-01-02,78,40,2017-04-14,2017-04-14,2017-01-26,BANGLADESH - CHITTAGONG,I-Knitwear,2017-01-20,6.25,6,38
BANGLADESH - CHITTAGONG,I-Knitwear,2017,1,29,2017-01-29,01/29/2017,2017,1,29,2017-03-04,03/04/2017,10.82,BANGLADESH - CHITTAGONG,2017-01-29,1,2017-03-04,I-Knitwear,0,-34,2017-01-29,2017-01-29,1,31,2017-01-30,2017-04-04,-27,-61,2017-01-02,2017-01-02,75,41,2017-04-14,2017-04-14,2017-01-29,BANGLADESH - CHITTAGONG,I-Knitwear,2017-01-26,27.7,3,34
BANGLADESH - CHITTAGONG,I-Knitwear,2017,2,6,2017-02-06,02/06/2017,2017,2,6,2017-03-04,03/04/2017,27.82,BANGLADESH - CHITTAGONG,2017-02-06,2,2017-03-04,I-Knitwear,-6,-32,2017-01-31,2017-01-31,57,31,2017-04-04,2017-04-04,-35,-61,2017-01-02,2017-01-02,67,41,2017-04-14,2017-04-14,2017-02-06,BANGLADESH - CHITTAGONG,I-Knitwear,2017-01-29,10.82,8,26
BANGLADESH - CHITTAGONG,I-Knitwear,2017,3,3,2017-03-03,03/03/2017,2017,3,3,2017-04-04,04/04/2017,87.03,BANGLADESH - CHITTAGONG,2017-03-03,3,2017-04-04,I-Knitwear,-31,-63,2017-01-31,2017-01-31,32,10,2017-04-04,2017-04-14,-60,-92,2017-01-02,2017-01-02,42,10,2017-04-14,2017-04-14,2017-03-03,BANGLADESH - CHITTAGONG,I-Knitwear,2017-02-06,27.82,25,32
BANGLADESH - CHITTAGONG,I-Knitwear,2016,3,13,2016-03-13,03/13/2016,2016,3,13,2016-04-08,04/08/2016,56.32,BANGLADESH - CHITTAGONG,2016-03-13,3,2016-04-08,I-Knitwear,-32,-58,2016-02-10,2016-02-10,12,23,2016-03-25,2016-05-01,-72,-11,2016-01-01,2016-03-28,12,24,2016-03-25,2016-05-02,,,,,,,26
BANGLADESH - CHITTAGONG,I-Knitwear,2017,3,14,2017-03-14,03/14/2017,2017,3,14,2017-04-07,04/07/2017,13.51,BANGLADESH - CHITTAGONG,2017-03-14,3,2017-04-07,I-Knitwear,-42,-66,2017-01-31,2017-01-31,21,7,2017-04-04,2017-04-14,-71,-95,2017-01-02,2017-01-02,31,7,2017-04-14,2017-04-14,2017-03-14,BANGLADESH - CHITTAGONG,I-Knitwear,2017-03-03,87.03,11,24
BANGLADESH - CHITTAGONG,I-Knitwear,2016,3,26,2016-03-26,03/26/2016,2016,3,26,2016-04-21,04/21/2016,57.39,BANGLADESH - CHITTAGONG,2016-03-26,3,2016-04-21,I-Knitwear,0,-26,2016-03-26,2016-03-26,2,10,2016-03-28,2016-05-01,-1,-24,2016-03-25,2016-03-28,1,11,2016-03-27,2016-05-02,2016-03-26,BANGLADESH - CHITTAGONG,I-Knitwear,2016-03-13,56.32,13,26
BANGLADESH - CHITTAGONG,I-Knitwear,2016,3,28,2016-03-28,03/28/2016,2016,3,28,2016-04-21,04/21/2016,197.69,BANGLADESH - CHITTAGONG,2016-03-28,3,2016-04-21,I-Knitwear,0,-24,2016-03-28,2016-03-28,7,10,2016-04-04,2016-05-01,0,-24,2016-03-28,2016-03-28,35,11,2016-05-02,2016-05-02,2016-03-28,BANGLADESH - CHITTAGONG,I-Knitwear,2016-03-26,57.39,2,24
BANGLADESH - CHITTAGONG,I-Knitwear,2016,4,6,2016-04-06,04/06/2016,2016,4,6,2016-05-03,05/03/2016,179.21,BANGLADESH - CHITTAGONG,2016-04-06,4,2016-05-03,I-Knitwear,-2,-29,2016-04-04,2016-04-04,25,11,2016-05-01,2016-05-14,-9,-1,2016-03-28,2016-05-02,26,27,2016-05-02,2016-05-30,2016-04-06,BANGLADESH - CHITTAGONG,I-Knitwear,2016-03-28,197.69,9,27
BANGLADESH - CHITTAGONG,I-Knitwear,2016,4,8,2016-04-08,04/08/2016,2016,4,8,2016-05-11,05/11/2016,101.09,BANGLADESH - CHITTAGONG,2016-04-08,4,2016-05-11,I-Knitwear,-4,-37,2016-04-04,2016-04-04,23,3,2016-05-01,2016-05-14,-11,-9,2016-03-28,2016-05-02,24,19,2016-05-02,2016-05-30,2016-04-08,BANGLADESH - CHITTAGONG,I-Knitwear,2016-04-06,179.21,2,33
BANGLADESH - CHITTAGONG,I-Knitwear,2016,4,27,2016-04-27,04/27/2016,2016,4,27,2016-05-26,05/26/2016,36.97,BANGLADESH - CHITTAGONG,2016-04-27,4,2016-05-26,I-Knitwear,-23,-52,2016-04-04,2016-04-04,4,14,2016-05-01,2016-06-09,-30,-24,2016-03-28,2016-05-02,5,4,2016-05-02,2016-05-30,2016-04-27,BANGLADESH - CHITTAGONG,I-Knitwear,2016-04-08,101.09,19,29
